1,2,32,60
1,3,4,63
1,4,36,45
1,4,46,95
1,6,29,43
1,9,10,73
1,22,73,81
1,25,62,88
1,26,39,98
1,31,66,70
1,64,81,93
2,11,92,96
2,14,47,69
2,27,29,47
2,39,53,91
2,41,91,97
2,48,58,70
2,48,61,99
2,59,73,76
2,62,66,98
2,66,67,95
2,75,89,100
3,5,15,32
3,7,30,93
3,8,61,68
3,9,19,96
3,17,31,84
3,27,28,33
3,30,76,86
3,39,42,47
3,43,95,99
3,50,56,94
3,60,64,68
3,73,86,98
4,16,35,50
4,23,74,79
4,26,79,96
4,28,70,79
4,28,83,94
4,31,63,67
4,31,69,78
4,38,60,69
4,40,52,85
4,46,93,99
4,61,85,100
5,20,38,56
5,20,43,97
5,21,25,100
5,28,41,95
5,29,32,46
5,31,59,68
5,36,68,92
5,42,84,94
5,49,66,82
5,50,77,91
5,58,95,97
6,7,38,59
6,15,26,29
6,15,42,51
6,25,58,93
6,28,48,77
6,31,34,53
6,31,41,42
6,34,46,76
6,42,91,95
6,53,61,94
6,63,65,90
6,66,68,92
6,71,79,95
7,18,32,38
7,18,63,95
7,19,44,74
7,28,46,65
7,30,44,71
7,38,41,51
7,38,58,63
7,40,42,98
7,42,69,81
7,53,67,87
7,54,60,72
7,71,74,94
8,11,33,37
8,11,35,70
8,20,53,92
8,32,61,79
8,33,70,92
8,40,82,98
8,42,66,99
8,45,86,90
8,47,70,72
8,50,56,70
8,72,82,97
9,10,55,97
9,12,70,82
9,12,70,94
9,14,22,90
9,14,24,97
9,14,49,81
9,24,35,71
9,31,62,88
9,42,73,87
9,46,52,59
9,53,85,91
9,67,71,94
9,68,80,99
10,15,17,30
10,18,63,100
10,19,20,38
10,22,58,73
10,33,81,100
10,34,57,66
10,46,77,80
10,47,91,93
10,52,82,94
10,53,59,71
10,64,75,78
11,14,35,71
11,16,25,85
11,16,34,52
11,17,37,95
11,19,70,96
11,22,63,66
11,23,51,94
11,29,72,76
11,44,46,80
11,44,69,85
11,45,47,63
11,57,77,93
11,67,88,98
12,13,29,75
12,17,80,90
12,19,24,83
12,22,55,81
12,23,50,73
12,24,80,91
12,28,74,80
12,32,56,57
12,35,50,93
12,36,37,86
12,38,51,65
12,58,75,76
12,60,82,99
12,62,66,79
13,14,30,89
13,16,22,88
13,18,42,65
13,21,43,87
13,24,26,90
13,26,29,63
13,30,83,98
13,31,81,91
13,32,73,91
13,33,36,43
13,41,49,75
13,47,51,90
13,47,56,89
13,51,79,94
13,55,60,93
14,16,28,58
14,19,41,96
14,20,36,96
14,23,69,82
14,26,33,82
14,37,69,85
14,38,56,63
14,50,69,90
14,52,75,79
14,64,65,66
15,21,44,72
15,22,23,61
15,29,77,95
15,32,36,86
15,32,80,83
15,38,47,87
15,45,54,80
15,50,55,71
15,56,80,96
15,64,72,87
15,64,76,96
15,71,76,90
16,20,33,86
16,24,57,92
16,26,56,72
16,31,96,97
16,33,50,77
16,36,66,85
16,37,78,95
16,45,73,78
16,53,92,100
16,75,89,94
16,77,80,82
17,21,39,75
17,22,44,88
17,25,77,83
17,29,42,100
17,36,79,88
17,40,97,98
17,48,57,89
17,67,74,87
17,69,70,73
17,78,83,94
18,21,36,79
18,25,70,79
18,26,28,91
18,26,59,94
18,34,70,76
18,39,65,100
18,39,67,72
18,49,65,73
18,52,74,100
18,52,79,95
18,56,57,93
18,64,97,99
18,76,78,79
19,25,38,86
19,27,28,62
19,32,41,76
19,33,57,89
19,37,48,88
19,45,46,88
19,45,54,59
19,52,66,71
19,75,76,96
20,24,29,52
20,24,90,93
20,28,49,77
20,32,44,92
20,37,51,78
20,41,49,61
20,43,57,95
20,43,71,86
20,47,51,85
20,52,55,98
20,59,68,97
21,23,74,99
21,24,25,70
21,24,35,90
21,31,53,65
21,32,60,92
21,33,51,72
21,40,49,67
21,40,96,100
21,41,61,98
21,54,70,89
21,55,82,97
21,63,68,96
22,25,47,60
22,26,32,92
22,32,48,90
22,40,46,93
22,45,69,80
22,50,72,81
22,62,66,67
22,62,66,75
22,69,96,98
23,27,50,58
23,27,58,72
23,29,36,74
23,34,37,38
23,35,51,84
23,37,89,96
23,41,48,81
23,45,49,90
23,49,84,92
23,62,74,86
23,85,88,95
24,25,39,83
24,26,45,54
24,30,38,89
24,31,63,97
24,33,69,89
24,36,46,84
24,52,54,82
24,64,85,91
25,27,80,81
25,30,35,90
25,35,84,93
25,43,60,90
25,50,91,97
25,66,71,75
25,68,82,93
25,74,83,99
26,35,65,98
26,41,54,83
26,46,48,87
26,50,54,100
26,63,65,92
26,82,83,84
27,29,78,88
27,31,35,53
27,35,40,59
27,36,48,93
27,39,62,84
27,43,58,79
27,53,72,88
27,55,80,85
27,66,85,86
27,72,78,81
28,30,42,96
28,33,49,70
28,36,78,80
28,46,57,59
28,46,83,86
28,71,88,92
28,74,79,81
29,40,57,95
29,40,60,61
29,48,97,100
29,58,70,99
29,59,61,91
29,72,78,87
30,36,62,92
30,42,51,81
30,45,48,76
30,50,58,90
30,52,66,73
30,75,87,99
30,83,90,97
31,32,95,96
31,34,38,68
31,40,61,89
31,44,59,78
31,65,91,99
32,48,51,55
32,73,74,83
33,34,45,69
33,34,75,93
33,43,60,87
33,60,87,91
33,69,79,94
33,76,78,79
33,77,84,100
34,43,45,96
34,43,68,92
34,45,51,94
34,45,61,81
34,49,61,89
34,50,55,89
34,56,64,66
34,74,77,95
35,37,89,90
35,39,59,93
35,44,82,89
35,52,61,87
35,53,62,86
35,55,64,98
35,63,65,85
36,37,76,83
36,44,75,89
